model_name,summary,capabilities,primary_version,version_name,size,context,input,usage_command,updated_at
gpt-oss,"OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases.","tools,thinking,cloud",20b,gpt-oss:latest,14GB,128K,Text,ollama pull gpt-oss:latest,5 months ago
gpt-oss,"OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases.","tools,thinking,cloud",20b,gpt-oss:20b,14GB,128K,Text,ollama pull gpt-oss:20b,5 months ago
gpt-oss,"OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases.","tools,thinking,cloud",20b,gpt-oss:120b,65GB,128K,Text,ollama pull gpt-oss:120b,5 months ago
gpt-oss,"OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases.","tools,thinking,cloud",20b,gpt-oss:20b-cloud,-,128K,Text,ollama pull gpt-oss:20b-cloud,5 months ago
gpt-oss,"OpenAI’s open-weight models designed for powerful reasoning, agentic tasks, and versatile developer use cases.","tools,thinking,cloud",20b,gpt-oss:120b-cloud,-,128K,Text,ollama pull gpt-oss:120b-cloud,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:latest,5.2GB,40K,Text,ollama pull qwen3:latest,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:0.6b,523MB,40K,Text,ollama pull qwen3:0.6b,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:1.7b,1.4GB,40K,Text,ollama pull qwen3:1.7b,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b,2.5GB,256K,Text,ollama pull qwen3:4b,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:8b,5.2GB,40K,Text,ollama pull qwen3:8b,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:14b,9.3GB,40K,Text,ollama pull qwen3:14b,9 months ago
